Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
67,,"Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",Yes,,,
68,,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malware.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.2.1,"There is a constant stream of attacks targeting newly discovered vulnerabilities in systems previously regarded as secure. Without an anti-malware solution that is updated regularly, new forms of malware can be used to attack the network, or to exploit vulnerabilities in systems, and compromise data. It is important to protect against all types and forms of malware to prevent malicious software from entering the network. Entities should also be aware of zero-day attacks (those that exploit a previously unknown vulnerability) and consider solutions and processes that monitor for unexpected behavior.",Yes,,,
69,,"The deployed anti-malware solution(s): Detects all known types of malware; Removes, blocks, or contains all known types of malware.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.2.2,"It is important to protect against all types and forms of malware to prevent unauthorized access. Anti-malware solutions may include a combination of network-based controls, host-based controls, and endpoint security solutions. In addition to signature-based tools, anti-malware solutions include sandboxing, privilege escalation controls, and machine learning.",Yes,,,
70,,Any system components that are not at risk for malware are evaluated periodically to include the following: A documented list of all system components not at risk for malware; Identification and evaluation of evolving malware threats for those system components; Confirmation whether such system components continue to not require anti-malware protection.,,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.2.3,"Certain systems, at a given point in time, may not currently be commonly targeted or affected by malware. However, industry trends for malware can change quickly, so it is important for organizations to be aware of new malware that might affect their systems, for example, by monitoring vendor security notices and anti-malware forums to determine whether its systems might be coming under threat from new and evolving malware. Trends in malware should be included in the identification of new security vulnerabilities at Requirement 6.3.1, and methods to address new trends should be incorporated into the entity's configuration standards and protection mechanisms as needed. If an entity determines that a particular system is not susceptible to any type of malware, the entity should provide supporting documentation to provide justification, include hardening of the system to prevent malware, and reevaluate at least every 12 months.",Yes,,,
71,,"The frequency of periodic evaluations of system components identified as not at risk for malware is defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.2.3.1,Entities determine the optimum period to undertake periodic evaluations based on criteria such as the complexity of each entity's environment and the number and types of systems that need to be evaluated.,Yes,,,
72,,The anti-malware solution(s) is kept current via automatic updates.,,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.1,"For an anti-malware solution to remain effective, it needs to have the latest security updates, signatures, threat analysis engines, and any other updates that the anti-malware vendor identifies as being critical to maintaining the effectiveness of the solution. Keeping up to date with the latest updates and patches is important to address evolving and emerging threats. Anti-malware mechanisms should be updated as quickly as possible after an update is available, to ensure the most current protection against new and evolving threats. Updates may be automatically downloaded and distributed to end-user systems and may need to be automatically communicated to individual system components prior to being deployed.",Yes,,,
73,,The anti-malware solution(s): Performs periodic scans and active or real-time scans; OR Performs continuous behavioral analysis of systems or processes.,,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.2,"Anti-malware solutions can identify malware that is present but not currently inactive within the environment. Some anti-malware solutions can identify malware not currently active, for example, it might be dormant. Anti-malware solutions and tools can also help protect against previously unknown threats. On-demand and ongoing analysis helps ensure and confirm that malware is unable to execute on a system. Combined with anti-malware tools that monitor for unexpected behavior, detection of malware can be made more efficient through the use of anti-malware scanning tools.",Yes,,,
74,,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.2.1,Entities can determine the optimum period to undertake periodic scans based on their own assessment of the risks posed to their environments.,Yes,,,
75,,"For removable electronic media, the anti-malware solution(s): Performs automatic scans of when the media is inserted, connected, or logically mounted; OR Performs continuous behavioral analysis of systems or processes when the media is inserted, connected, or logically mounted.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.3,"Portable media devices are often overlooked as an entry method for malware. Attackers will often pre-load malware onto portable devices such as USB and flash drives and leave them in public places, such as parking lots of companies known to be targets. An unsuspecting user then finds the device and inserts it into their computer, which then triggers the malware, introducing new threats within the environment.",Yes,,,
76,,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.4,"It is important to track the effectiveness of the anti-malware mechanisms and controls—for example, by logging malware detections, corrective actions, generation of alerts, update failures, and whether anti-malware scans are being performed and completed. Anti-malware logs also allow an entity to determine how malware entered the environment and track its activity when inside the entity's network.",Yes,,,
77,,"Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented and authorized by management on a case-by-case basis for a limited time period.",,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.3.5,"It is important that defensive mechanisms are always running so that malware is detected in real time. Ad hoc disabling of anti-malware solutions can provide opportunities for malware to propagate and can result in system compromise. A system's anti-malware protection needs to be proactively maintained to support a system's continuous ability to detect and stop malware from being introduced, including on administrators' computers. Alerting when anti-malware is disabled will allow for timely management awareness and correction so that anti-malware protection is not inactive and malware can be blocked from entering the environment.",Yes,,,
78,,Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.,,Requirement 5: Protect All Systems and Networks from Malicious Software,7,5.4.1,"Technical controls can limit the number of occasions personnel have to evaluate the veracity of a communication and can also limit the effects of individual responses to phishing. When developing anti-phishing controls, entities are encouraged to consider a combination of approaches, such as using anti-spoofing controls, DKIM (DomainKeys Identified Mail), Domain-based Message Authentication Reporting and Conformance (DMARC), SPF, and Domain Keys to help detect and prevent phishing. The deployment of technologies for blocking phishing e-mails and malware before they reach personnel, such as link scrubbers and server-side anti-malware, can reduce the number of incidents and can also assist in blocking attempts before they reach individual users. Additionally, training personnel to detect and report phishing attempts is also important.",Yes,,,
79,,"All security policies and operational procedures that are identified in Requirement 6 are: Documented, Kept up to date, In use, Known to all affected parties.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.1.1,"Requirement 6.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 6. While it is important to define the specific policies or procedures called out in Requirement 6, it is equally important to ensure they are properly documented, maintained, and disseminated. It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.",Yes,,,
80,,"Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",Yes,,,
81,,"Bespoke and custom software are developed securely, as follows: Based on industry standards and/or best practices for secure development; In accordance with PCI DSS (for example, secure authentication and logging); Incorporating consideration of information security issues during each stage of the software development lifecycle.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.2.1,"Without the inclusion of security during the requirements definition, design, analysis, and testing phases of software development, security vulnerabilities can be inadvertently or maliciously introduced into the production environment. Understanding how sensitive data is handled by the application—including when stored, transmitted, and in memory—can help identify where data needs to be protected. It is important to consider building security into software from the initial design stage rather than trying to retrofit the software later.",Yes,,,
82,,Software development personnel working on bespoke and custom software are trained at least once every 12 months as follows: On software security relevant to their job function and development languages; Including secure software design and secure coding techniques.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.2.2,"Having staff knowledgeable in secure coding methods, including techniques defined in Requirement 6.2.4, will help minimize the number of security vulnerabilities introduced through poor coding practices. Training for developers may be provided in-house or by third parties. Training should include, but is not limited to, design, coding techniques/methodologies, frameworks, and tools. Secure coding training may need to be updated as industry-accepted secure coding practices change and as new threats emerge. As industry-accepted secure coding practices evolve, organizational coding practices and developer training may need to be updated to address new threats.",Yes,,,
83,,"Bespoke and custom software is reviewed prior to being released into production or to customers, to identify and correct potential coding vulnerabilities, as follows: Code reviews ensure code is developed in accordance with secure coding guidelines; Code reviews look for both existing and emerging software vulnerabilities; Appropriate corrections are implemented prior to release.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.2.3,Security vulnerabilities in bespoke and custom software are commonly exploited by malicious individuals to gain access to a network and compromise account data. Vulnerabilities can be introduced in code at any point during the development process. Vulnerable code is far more difficult and expensive to address after it has been deployed or released into production environments. Including a formal review and corrections before release helps to confirm that code is authored in a manner that includes appropriate defensive coding techniques. Having a formal code review methodology and review process helps to improve the quality of the finished code.,Yes,,,
84,,"If manual code reviews are performed for bespoke and custom software prior to release to production, code changes are: Reviewed by individuals other than the originating code author, and who are knowledgeable about code-review techniques and secure coding practices; Reviewed and approved by management prior to release.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.2.3.1,"Code that is reviewed by someone other than the original author, who is both experienced in code reviews and knowledgeable about secure coding practices, minimizes the possibility that code containing security or logic errors that could affect the security of cardholder data is released into a production environment. Having a formal review methodology and review process helps to improve the quality of the finished code. Code review is a tiring process, and for this reason, it is important to ensure reviewers are not reviewing too much at a time.",Yes,,,
85,,"Software engineering techniques or other methods are defined and used by software development personnel to prevent or mitigate common software attacks and related vulnerabilities in bespoke and custom software, including but not limited to: Injection attacks, including SQL, LDAP, XPath, or other command, parameter, object, fault, or injection-type flaws; Attacks on data and data structures, including attempts to manipulate buffers, pointers, input data, or shared data; Attacks on cryptography usage, including attempts to exploit weak, insecure, or inappropriate cryptographic implementations, algorithms, cipher suites, or modes of operation; Attacks on business logic, including attempts to abuse or bypass application features and functionalities through the manipulation of APIs, communication protocols and channels, client-side functionality, or other system/application functions and resources; Attacks on access control mechanisms, including attempts to bypass or abuse identification, authentication, or authorization mechanisms, or attempts to exploit weaknesses in the implementation of such mechanisms; Attacks via any other input to the application or systems (XSS) and cross-site request forgery (CSRF).",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.2.4,"Detecting or preventing common errors that result in vulnerable code as early as possible in the software development process lowers the probability that such errors make it through to production and lead to a compromise. Having formal engineering techniques and tools embedded in the development process will catch these errors early. For bespoke and custom software, the entity must ensure that code is developed focusing on the prevention or mitigation of common software attacks, including those described in this requirement.",Yes,,,
86,,"Security vulnerabilities are identified and managed as follows: New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international and national computer emergency response teams (CERTs); Vulnerabilities are assigned a risk ranking based on industry best practices and consideration of potential impact; Risk rankings identify, at a minimum, all vulnerabilities considered to be a high-risk or critical to the environment; Vulnerabilities for bespoke and custom, and third-party software (for example, operating systems and databases) are covered.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.3.1,"Classifying the risks (for example, as critical, high, medium, or low) allows organizations to identify, prioritize, and address the highest risk items more quickly and reduce the likelihood that vulnerabilities posing the greatest risk will be exploited. Methods for evaluating vulnerabilities and assigning risk ratings will vary based on an organization's environment and risk-assessment strategy. When an entity is assigning its risk rankings, it should consider using a formal, objective, justifiable methodology that accurately portrays the risks of the vulnerabilities being prioritized. An organization is not expected to address all identified vulnerabilities. The entity should focus on the vulnerabilities that are most important and have the highest risk.",Yes,,,
87,,"An inventory of bespoke and custom software, and third-party software components incorporated into bespoke and custom software is maintained to facilitate vulnerability and patch management.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.3.2,"Identifying and listing all the entity's bespoke and custom software, and any third-party software that is incorporated into the entity's bespoke and custom software enables the entity to promptly identify and address vulnerabilities. Maintaining an inventory of these components allows the entity to address known vulnerabilities in the entity's software by identifying vulnerable components and proactively patching them. An entity's inventory should cover all payment software components and dependencies, including supported execution platforms or environments, third-party libraries, services, and other required components.",Yes,,,
88,,"All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: Patches/updates for critical vulnerabilities (identified according to the risk ranking process at Requirement 6.3.1) are installed within one month of release; All other applicable security patches/updates are installed within an appropriate time frame as determined by the entity's risk assessment (for example, within three months of release) and as identified by the entity's assessment of Requirement 6.3.1.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.3.3,"New exploits are constantly being discovered, and these can permit attacks against systems that have previously been considered secure. If the most recent patches/updates are not implemented on critical systems as soon as possible, a malicious individual can exploit these vulnerabilities to attack or disable a system or gain access to sensitive data. Prioritizing security patches/updates for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released. An entity's patching cadence should factor in any re-evaluation of vulnerabilities and subsequent changes to the criticality of a vulnerability based on additional information. For example, a vulnerability initially identified as low risk could subsequently pose a higher risk, and a high-risk vulnerability could collectively pose a low or medium risk if it is present on the same system, or if additional compensating controls are applied.",Yes,,,
89,,"The frequency of patches/updates to address known vulnerabilities is defined in the entity's targeted risk analysis, which is performed in accordance with all elements specified in Requirement 12.3.1.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.3.3.1,Entities determine the optimum period to undertake periodic evaluations based on criteria such as the complexity of each entity's environment and the number and types of systems that need to be evaluated.,Yes,,,
90,,"For public-facing web applications, new threats and vulnerabilities are addressed on an ongoing basis and these applications are protected against known attacks as follows: Reviewing public-facing web applications via manual or automated application vulnerability security assessment tools or methods, at least once every 12 months and after significant changes; OR Installing an automated technical solution(s) that continually detects and prevents web-based attacks.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.4.1,"Public-facing web applications are primary targets for attackers, and poorly coded web applications provide an easy path for attackers to gain access to sensitive data and systems. These applications are primarily targets not only for external attackers but also for insiders. When using automated technical solutions, it is important to include the capability to generate alerts to ensure that any detected attacks can be investigated. A web application firewall (WAF) installed in front of public-facing web applications to check all traffic is an example of an automated technical solution that detects and prevents web-based attacks.",Yes,,,
91,,"For public-facing web applications, an automated technical solution is deployed that continually detects and prevents web-based attacks, with at least the following: Is installed in front of public-facing web applications and is configured to detect and prevent web-based attacks; Actively running and up to date as applicable; Generating audit logs; Configured to either block web-based attacks or generate an alert that is immediately investigated.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.4.2,"Attacks on public-facing web applications are primary targets for attackers, and poorly coded web applications provide an easy path for attackers. When using automated technical solutions, it is important to include the capability to generate alerts to ensure that any detected attacks can be investigated. A web application firewall (WAF) installed in front of public-facing web applications to check all traffic is an example of an automated technical solution. A properly configured WAF helps to prevent application-layer attacks on applications.",Yes,,,
92,,All payment page scripts that are loaded and executed in the consumer's browser are managed as follows: A method is implemented to confirm that each script is authorized; A method is implemented to assure the integrity of each script; An inventory of all scripts is maintained with written justification as to why each is necessary.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.4.3,"Scripts loaded and executed in the payment page can have their functionality altered without the entity's knowledge and can also have the functionality to load additional external scripts. Such scripts can be used to skim payment data from the consumer's browser. Ensuring that scripts have been specifically approved prevents unauthorized scripts from being added to the payment page. Using techniques to prevent tampering with the script will minimize the probability of the script being modified to carry out unauthorized behavior, such as skimming the cardholder data from the payment page.",Yes,,,
93,,Changes to all system components in the production environment are made according to established procedures that include: Documentation of impact; Documented change approval by authorized parties; Functionality testing to verify that the change does not adversely impact the security of the system; Backout procedures; Requirement 6.2.2 is applied to all changes; Procedures to address failures and return to a secure state; Testing to verify that the change does not adversely impact the security of system security.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.1,"Change management procedures must be applied to all changes—including addition, removal, or modification of any system component—in the production environment. It is important to have documented procedures that define how changes are controlled, including how backout procedures are implemented. For each change, it is important to have documented procedures that address failures and provide the ability to restore the system to its previous secure state. For each change, it is important to have procedures that address how to return to the previous secure state.",Yes,,,
94,,"Upon completion of a significant change, all applicable PCI DSS requirements are confirmed to be in place on all new or changed systems and networks, and documentation is updated as applicable.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.2,"Having processes for analyzing significant changes helps ensure that all appropriate PCI DSS controls are applied to any systems or networks added or changed within the in-scope environment, and that PCI DSS requirements continue to be met to secure the environment. Building this validation into change management processes helps ensure that device inventories and configuration standards are kept up to date and security controls are applied where needed.",Yes,,,
95,,Pre-production environments are separated from production environments and the separation is enforced with access controls.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.3,"Due to the constantly changing state of pre-production environments, they are often less secure than the production environment. Organizations must clearly understand which environments are test environments or development environments and how those are separated from production. The purpose of separating roles and functions between production and pre-production environments is to reduce the number of personnel with access to the production environment and thereby minimize risk.",Yes,,,
96,,Roles and functions are separated between production and pre-production environments to provide accountability such that only reviewed and approved changes are deployed.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.4,"The intent of separating roles and functions between production and pre-production environments is to reduce the number of personnel with access to the production environment and thereby minimize the risk of unauthorized, unintentional, or inappropriate access to critical data and production functions. The intent of this control is to separate critical activities to provide oversight and review to catch errors and to minimize the chances of fraud or theft, since two people would need to collude in order to hide an activity.",Yes,,,
97,,"Live PANs are not used in pre-production environments, except where those environments are included in the CDE and protected in accordance with all applicable PCI DSS requirements.",,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.5,"Use of live PANs outside of protected CDEs provides malicious individuals with the opportunity to gain unauthorized access to cardholder data. Live PANs refer to valid PANs (not test PANs) issued by a payment brand. Additionally, PANs that result in a different hash of a payment brand, or that are used in a training test will be treated as live PANs. All PAN data must be identified as a live PAN and purged from the test environment before they are excluded from PCI DSS that PANs are not live.",Yes,,,
98,,Test data and test accounts are removed from system components before the system goes into production.,,Requirement 6: Develop and Maintain Secure Systems and Software,7,6.5.6,Test data may give away information about the functioning of an application or system and is an easy target for unauthorized individuals to exploit. Removal of test data and accounts before a system goes into production helps ensure that this information could not be used by unauthorized individuals.,Yes,,,
99,,"All security policies and operational procedures that are identified in Requirement 7 are: Documented, Kept up to date, In use, Known to all affected parties.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.1.1,"Requirement 7.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 7. While it is important to define the specific policies or procedures called out in Requirement 7, it is equally important to ensure they are properly documented, maintained, and disseminated. It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.",Yes,,,
100,,"Roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",Yes,,,
101,,"An access control model is defined and includes granting access as follows: Appropriate access depending on the entity's business and access needs; Access to system components and data resources that is based on users' job classification and function; The least privileges required (for example, user, administrator) to perform a job function.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.1,"Defining an access control model that is appropriate for the entity's technology and access control philosophy supports a consistent and uniform way of assigning access and reduces the possibility of errors such as the granting of excessive rights. It is beneficial for duties to be clearly defined between IT and information system support functions. In particular, establishing roles such as programming, database administration, system management, and network management will help to define the scope of duties and responsibilities. The separation of duties provides that no single individual has end-to-end control of a process without an independent checkpoint or oversight.",Yes,,,
102,,"Access is assigned to users, including privileged users, based on: Job classification and function; Least privileges necessary to perform job responsibilities.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.2,"Assigning least privileges helps prevent users without sufficient knowledge about the application from incorrectly or accidentally changing application configuration or altering its security settings. Enforcing least privilege also helps to minimize the scope of damage if an unauthorized person gains access to a user ID. Access rights are granted to a user by assignment and are based on the specific user function and the minimum access needed to perform that function. Entities should consider using Privileged Access Management (PAM), which is a method to grant access to privileged accounts only when those privileges are needed, by immediately revoking that access once they are no longer needed.",Yes,,,
103,,Required privileges are approved by authorized personnel.,,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.3,"Documented approval (for example, in writing or electronically) assures that those with access and privileges are known and authorized by management, and that their access is necessary for their job function.",Yes,,,
104,,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows: At least once every six months; To ensure user accounts and access remain appropriate based on job function; Any inappropriate access is addressed; Management acknowledges that access remains appropriate.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.4,"Regular review of access rights helps to detect excessive access rights remaining after user job responsibilities change, system functions change, or other modifications. This review provides another opportunity to ensure that any previously granted access to all terminated users has been revoked and that any unauthorized changes have been addressed. When a user transfers into a new role or a new department, typically the privileges and access associated with their former role are no longer required. Quarterly review, both making incremental updates to access as needed and performing a full review at least once every 6 months, helps minimize access creep.",Yes,,,
105,,"All application and system accounts and related access privileges are assigned and managed as follows: Based on the least privileges necessary for the operability of the system or application; Access is limited to the systems, applications, or processes that specifically require their use.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.5,"It is important to establish the appropriate access level for application or system accounts. If such accounts are compromised, malicious users will receive the same access level as that granted to the application or system. Therefore, it is important to ensure limited access is granted to the application or system. Some best practices to consider for application establishing a baseline when setting up these application accounts include: making sure that the account is not a member of a privileged group; restricting which computers the account can be used on; restricting use of local sign-on rights; and removing any additional settings like VPN access and remote access.",Yes,,,
106,,"All access by application and system accounts and related access privileges are reviewed as follows: Periodically (at the frequency defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1); The application/system access remains appropriate for the function being performed; Any inappropriate access is addressed; Management acknowledges that access remains appropriate.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.5.1,"Regular review of access rights helps to detect excessive access rights remaining after system functions change or other modifications. This review also provides another opportunity to ensure that access for all terminated users has been removed when no longer needed, and that they may be used by malicious parties for unauthorized access.",Yes,,,
107,,"All user access to query repositories of stored cardholder data is restricted as follows: Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges; Only the responsible administrator(s) can directly access or query repositories of stored cardholder data.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.2.6,"The misuse of query access to repositories of cardholder data has been a regular cause of data breaches. Limiting such access to administrators reduces the risk of such access being abused by unauthorized users. Entities should consider restricting the scope of privilege, including creating, altering, rotating, distributing, or otherwise maintaining encryption keys. Also consider including the scope of access to cardholder data elements, files, tables, logs, indices, views, and all other data elements that contain cardholder data to only those user that are needed to perform their job functions.",Yes,,,
108,,An access control system(s) is in place that restricts access based on a user's need to know and covers all system components.,,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.3.1,"Without a mechanism to restrict access based on a user's need to know, a user may unknowingly be granted access to cardholder data. Access control systems automate the process of restricting access and assigning privileges.",Yes,,,
109,,"The access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function.",,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.3.2,"Having privilege levels provides the entity with the ability for more granular control over allowing errors or the opportunity for unauthorized access in the assignment of permissions to individuals, applications, and systems.",Yes,,,
110,,The access control system(s) is set to 'deny all' by default.,,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7,7.3.3,"A default setting of 'deny all' ensures no one is granted access until and unless a rule is established specifically granting such access. Entities may want to consider how access permissions are assigned, including how permissions are inherited, and how access is granted via security groups or the use of 'deny all' in combination with other rules.",Yes,,,
111,,"All security policies and operational procedures that are identified in Requirement 8 are: Documented, Kept up to date, In use, Known to all affected parties.",,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.1.1,"Requirement 8.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 8. While it is important to define the specific policies or procedures called out in Requirement 8, it is equally important to ensure they are properly documented, maintained, and disseminated. It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.",Yes,,,
112,,"Roles and responsibilities for performing activities in Requirement 8 are documented, assigned, and understood.",,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",Yes,,,
113,,All users are assigned a unique ID before access to system components or cardholder data is allowed.,,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.1,"The ability to trace actions performed on a computer system to an individual is fundamental to the ability to hold users accountable and traceability and is fundamental to establishing effective access controls. By ensuring each user is uniquely identified, instead of using one ID for several employees, an organization can maintain individual responsibility for actions and an effective audit trail per employee. In addition, this will assist with incident management when a malicious or inadvertent event occurs.",Yes,,,
114,,"Group, shared, or generic accounts, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: Account use is prevented unless needed for an exceptional circumstance; Use is limited to the time needed for the exceptional circumstance; Business justification for use is documented; Use is explicitly approved by management; Individual user identity is confirmed before access to account is granted.",,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.2,"If multiple users share the same authentication credentials (for example, user account and password), it becomes impossible to trace system access and activities to an individual, and therefore, it becomes impossible to trace fraudulent activities to a specific user, for having effective logging of an individual's activities. The ability to associate individuals with the actions performed with the shared ID becomes impossible to determine who performed an action, what action was performed, and when. If shared IDs are used for any reason, strong management controls need to be established to maintain individual accountability.",Yes,,,
115,,Additional requirement for service providers: Service providers with remote access to customer premises use unique authentication factors for each customer premises.,,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.3,"Service providers with remote access to customer premises typically use this access to support PCI DSS compliance functions. If a service provider uses the same authentication factors to access multiple customers, all the customers can easily be compromised if an attacker compromises that one credential. Tools, policies, and procedures can help ensure that service providers use unique authentication factors for remote access to customer premises.",Yes,,,
116,,"Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are managed as follows: Authorized with the appropriate approval; Implemented with only the privileges specified on the documented approval.",,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.4,"Controlling the lifecycle of a user ID (additions, deletions, and modifications) ensures that only authorized individuals with the expected privilege levels can access the system. When user IDs are created outside of or not managed in accordance with the documented approval process, the user IDs may be created without appropriate privilege levels or background checks, or they may not be associated with the appropriate authorization.",Yes,,,
117,,Access for terminated users is immediately revoked.,,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.5,"If an employee or third-party/vendor has left the company and still has access to the network via their user account, unnecessary or malicious access to cardholder data could occur—either by the former employee or by a malicious user who exploits the old and/or unused account. To prevent unauthorized access, user credentials and other authentication methods therefore need to be revoked promptly upon the departure of any user who no longer requires access.",Yes,,,
118,,Inactive user accounts are removed or disabled within 90 days of inactivity.,,Requirement 8: Identify Users and Authenticate Access to System Components,7,8.2.6,"Accounts that are not used regularly are often targets of attack since it is less likely that any changes, such as a changed password, will be noticed. Not being actively used, that is, accounts that have had no activity for 90 days, should be disabled or removed as soon as it is feasible to do so. Where it may be reasonably anticipated that an account will not be used for an extended period of time, the account should be disabled as soon as the leave begins, rather than waiting 90 days.",Yes,,,
