Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
45,POST-INCIDENT REVIEWS,The relevant entities shall review at planned intervals if incidents led to post-incident reviews.,,INCIDENT HANDLING,45,3.6.3,"Conduct an annual review or a review after significant incidents, to determine if an incident has led to a post-incident review.",Yes,,,
46,BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN,"For the purpose of Article 21(2), point (c) of Directive (EU) 2022/2555, the relevant entities shall lay down and maintain a business continuity and disaster recovery plan to apply in the case of incidents.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.1.1,"Take into account industry-recognised standards when developing the business continuity ( 35) and disaster recovery plan. Create a list of natural disasters (e.g. hurricane, fire, flooding) and other occurrences (e.g. human error) that could affect the services together with a list of disaster recovery capabilities (e.g. backups, tests, recovery objectives, etc.).",Yes,,,
47,BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN,"The relevant entities’ operations shall be restored according to the business continuity and disaster recovery plan. The plan shall be based on the results of the risk assessment carried out pursuant to point 2.1 and shall include, where appropriate, the following: (a) purpose, scope and audience; (b) roles and responsibilities; (c) key contacts and (internal and external) communication channels; (d) conditions for plan activation and deactivation; (e) order of recovery for operations; (f) recovery plans for specific operations, including recovery objectives; (g) required resources, including backups and redundancies; (h) restoring and resuming activities from temporary measures.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.1.2,"Keep logs of business continuity plan activation and execution including decisions taken, steps followed, and final recovery time. Determine recovery order based on asset classification level, service importance, dependencies, recovery objectives, resource availability, and regulatory requirements. Conduct capacity planning to ensure necessary capacity for information processing, telecommunications and environmental support exists after plan activation. Consider primary and alternate telecommunications providers for disaster recovery. For remote work, employees handling critical operations must have access to backup internet solutions (mobile broadband, tethering) and participate in regular failover testing including VPN and voice communications over backup networks. Prepare for post-disaster service recovery by identifying failover sites in other regions, backing up critical data to remote locations, and testing restore procedures regularly. Ensure third-party services (e.g., hot sites) are available for disasters where appropriate. Implement advanced measures such as full redundancy, failover mechanisms, and alternative sites as appropriate.",Yes,,,
48,BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN,"The relevant entities shall carry out a business impact analysis to assess the potential impact of severe disruptions to their business operations and shall, based on the results of the business impact analysis, establish continuity requirements for the network and information systems.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.1.3,"Based on business impact analysis and risk assessment results, establish appropriate recovery objectives: Recovery Time Objectives (RTOs) defining maximum recovery time for business resources and functions after disaster; Recovery Point Objectives (RPOs) defining acceptable data loss (measured in maximum recovery time without unacceptable damage); Service Delivery Objectives (SDOs) defining minimum performance levels during alternate processing (e.g., call center response times, e-commerce system availability, remote work infrastructure restoration timeframes); and Maximum Acceptable Outage (MAO) or Maximum Tolerable Period of Disruption (MTPD) determining when service unavailability becomes unacceptable (typically longer than RTOs, focusing on service availability while RPOs focus on data loss). RTOs, RPOs and SDOs may determine backup and redundancy procedures. Document the disaster recovery plan accounting for RTOs, RPOs, SDOs and compliance with applicable regulations.",Yes,,,
49,BUSINESS CONTINUITY AND DISASTER RECOVERY PLAN,"The business continuity plan and disaster recovery plan shall be tested, reviewed and, where appropriate, updated at planned intervals and following significant incidents or significant changes to operations or risks. The relevant entities shall ensure that the plans incorporate lessons learnt from such tests.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.1.4,"Test, review and update business continuity and disaster recovery plans at least annually using methods such as alternative personnel locations, disaster recovery hot sites, digital twins, simulations, or tabletop exercises. Test regularly considering change logs, past incidents, and previous test results. Test disaster recovery plans at alternate processing sites to familiarize personnel and evaluate site capabilities. Test data centre infrastructure for availability, auto failover, power failover between providers or to backup power, and resilience to maintain customer service. Define full recovery and system reconstitution to a known state as part of testing. Update plans based on change logs, past incidents, test results and training records. Review previous test results and change logs to ensure plans incorporate lessons learned. Review and update roles and responsibilities. Review dependent third parties' disaster recovery plans for compliance with business continuity requirements. Communicate plan changes to relevant personnel.",Yes,,,
50,BACKUP AND REDUNDANCY MANAGEMENT,"The relevant entities shall maintain backup copies of data and provide sufficient available resources, including facilities, network and information systems and staff, to ensure an appropriate level of redundancy.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.1,"Consider whether to invest in own redundancy or to engage third parties, for example cloud providers, t. provide such redundancy, in alignment with the BIA (Annex to the regulation, point 4.1.3).",Yes,,,
51,BACKUP AND REDUNDANCY MANAGEMENT,"Based on the results of the risk assessment carried out pursuant to point 2.1 and the business continuity plan, the relevant entities shall lay down backup plans which include the following: (a) recovery times; (b) assurance that backup copies are complete and accurate, including configuration data and data stored in cloud computing service environment; (c) storing backup copies (online or offline) in a safe location or locations, which are not in the same network as the system and are at sufficient distance to escape any damage from a disaster at the main site; (d) appropriate physical and logical access controls to backup copies, in accordance with the asset classification level; (e) restoring data from backup copies; (f) retention periods based on business and regulatory requirements.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.2,"Recovery times should not exceed the recovery objectives referred to in 4.1.2 (f) of the Annex to the regulation. Concerning retention periods consider what is referred to in point 3.2.5 of the Annex to the regulation. If an entity engages third parties to ensure an appropriate level of redundancy, it should be clearly decided whether it is the entity's responsibility to compile the backup plans or if the third parties have any involvement in the process.",Yes,,,
52,BACKUP AND REDUNDANCY MANAGEMENT,The relevant entities shall perform regular integrity checks on the backup copies.,,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.3,"Check the integrity of the backup copies. An indicative, non-exhaustive list of good practices is the following:. use checksums or hashing algorithms to verify that the data in your backups matches the original data (section 9.2);. implement automated scripts to run these checks regularly, reducing the risk of human error;. schedule regular tests to restore data from backups to ensure they are complete, functional and validated by business users to confirm the accuracy and usability of the restored data;. test various recovery scenarios, including full system restores and individual file recoveries, t. ensure all aspects of your backup system are reliable; and. consider using cloud storage solutions for off-site backups, which often include built-in integrity checks and redundancy.",Yes,,,
53,BACKUP AND REDUNDANCY MANAGEMENT,"Based on the results of the risk assessment carried out pursuant to point 2.1 and the business continuity plan, the relevant entities shall ensure sufficient availability of resources by at least partial redundancy of the following: (a) network and information systems; (b) assets, including facilities, equipment and supplies; (c) personnel with the necessary responsibility, authority and competence; (d) appropriate communication channels.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.4,"Define minimum resources needed to ensure at least partial redundancy for: network and information systems (multiple internet service providers, load balancing, mirrored servers, virtualization, redundant disk arrays); assets (shared workspaces, backup locations, spare equipment, multiple suppliers); personnel (job rotation, backup assignments, emergency drills); multiple communication platforms (social media, messaging apps, email); and multiple methods to power a site through multiple electrical providers or combination of providers with backup mechanisms such as generators.",Yes,,,
54,BACKUP AND REDUNDANCY MANAGEMENT,"Where appropriate, the relevant entities shall ensure that monitoring and adjustment of resources, including facilities, systems and personnel, is duly informed by backup and redundancy requirements.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.5,"Decisions about resource allocation and adjustments should be guided by the need for backups and redundancy. To this end, the entity might consider one or more of the following (indicative, non-exhaustive list):. prioritisation of resources based on the results of the risk analysis;. partial redundancy;. diverse backup locations; and. continuous monitoring of the resources where redundancy is necessary. TECHNICAL IMPLEMENTATION GUIDANCE June 2025, version 1.0 59",Yes,,,
55,BACKUP AND REDUNDANCY MANAGEMENT,"The relevant entities shall carry out regular testing of the recovery of backup copies and redundancies to ensure that, in recovery conditions, they can be relied upon and cover the copies, processes and knowledge to perform an effective recovery. The relevant entities shall document the results of the tests and, where needed, take corrective action.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.2.6,"Tailor the frequency of the backup checks to the data criticality based on the risk assessment (section 2.1). As an example:. Data with high criticality might be checked on a weekly basis. Data with moderate and low criticality might be checked on a monthly basis. Significant changes should be checked immediately after the change. Make sure that the issues and lessons learnt from exercises are addressed by the responsible people and that the relevant processes and systems are updated accordingly. Involve suppliers and other third parties, such as business partners or customers in tests.",Yes,,,
56,CRISIS MANAGEMENT,The relevant entities shall put in place a process for crisis management.,,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.3.1,"Develop crisis management processes using industry-recognised standards such as ISO 22361:2022, ENISA Best Practices for Cyber Crisis Management, and NIST SP 800-61 Revision 2, considering technical, operational, communication and remediation aspects including roles and responsibilities. Define clear criteria for escalating incidents to crisis status based on the entity's risk appetite and incident handling capabilities, such as incidents posing significant risk to critical assets or operations, causing serious business disruption or prolonged downtime, affecting multiple systems or geographic locations, impacting reputation or data confidentiality, integrity, authenticity and availability, involving advanced persistent threats or organised cybercrime, or having potential to escalate further through vulnerability exploitation or malware spread.",Yes,,,
57,CRISIS MANAGEMENT,"The relevant entities shall ensure that the crisis management process addresses at least the following elements: (a) roles and responsibilities for personnel and, where appropriate, suppliers and service providers, specifying the allocation of roles in crisis situations, including specific steps to follow; (b) appropriate communication means between the relevant entities and relevant competent authorities; (c) application of appropriate measures to ensure the maintenance of network and information system security in crisis situations. For the purpose of point (b), the flow of information between the relevant entities and relevant competent authorities shall include both obligatory communications, such as incident reports and related timelines and non-obligatory communications.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.3.2,"Develop crisis communication procedures addressing legal notification obligations and timing requirements, methods for disseminating information to internal and external stakeholders (employees, customers, suppliers, emergency services, competent authorities), communication templates, appropriate channels for each stakeholder type recognising that normal channels may be unsafe during crisis and different stakeholders use different channels, and maintain up-to-date contact information for all internal and external stakeholders.",Yes,,,
58,CRISIS MANAGEMENT,"The relevant entities shall implement a process for managing and making use of information received from the CSIRTs or, where applicable, the competent authorities, concerning incidents, vulnerabilities, threats or possible mitigation measures.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.3.3,"Implement a process for managing CSIRT information by designating a point of contact with sufficient incident and threat intelligence knowledge, classifying incoming information into incidents, vulnerabilities, threats and mitigation measures, assigning priority levels based on severity and potential impact, reviewing information for relevance and urgency, validating against internal logs and threat intelligence feeds, collaborating with relevant teams to develop mitigation strategies, updating incident response plans accordingly, implementing mitigation measures and communicating with stakeholders, and voluntarily sharing incident insights and feedback with the CSIRT.",Yes,,,
59,CRISIS MANAGEMENT,"The relevant entities shall test, review and, where appropriate, update the crisis management plan on a regular basis or following significant incidents or significant changes to operations or risks.",,BUSINESS CONTINUITY AND CRISIS MANAGEMENT,45,4.3.4,"Test the crisis management process annually through exercises or simulations accounting for past crisis situations, comparing test results against defined objectives such as RTOs, RPOs and SDOs, and using results to update and improve procedures. Review and update the crisis management process, security policy and organisational measures following any test, significant incidents, or significant changes to operations or risks.",Yes,,,
60,SUPPLY CHAIN SECURITY POLICY,"For the purpose of Article 21(2), point (d) of Directive (EU) 2022/2555, the relevant entities shall establish, implement and apply a supply chain security policy which governs the relations with their direct suppliers and service providers to mitigate the identified risks to the security of network and information systems. In the supply chain security policy, the relevant entities shall identify their role in the supply chain and communicate it to their direct suppliers and service providers.",,SUPPLY CHAIN SECURITY,45,5.1.1,"Develop supply chain policy using industry-recognised standards or good practices. Suppliers or service providers may include ICT suppliers, manufacturers, managed service providers, managed security service providers and cloud computing providers. Free and open source software communities and projects are not considered direct suppliers or service providers where no contractual relationship exists beyond adherence to standardised copyright licences, or where the contractual relationship is with an open source software steward providing sustained development support and ensuring product viability.",Yes,,,
61,SUPPLY CHAIN SECURITY POLICY,"Relevant entities shall establish criteria to select and contract suppliers and service providers based on: their cybersecurity practices including secure development procedures; their ability to meet specified cybersecurity requirements; the overall quality, resilience and cybersecurity risk-management measures of ICT products and services including risk classification; and their ability to diversify supply sources and limit vendor lock-in where applicable.",,SUPPLY CHAIN SECURITY,45,5.1.2,"Consider the supplier's legal jurisdiction and regulatory status under NIS2 or the Cyber Resilience Act; compliance statements and corporate ownership; ability to ensure supply including size and control over their own supply chain; cybersecurity practices attested by industry certifications, vendor risk-management reports or assessment questionnaires; notices from national authorities; sensitivity of acquired products and services; history of cybersecurity events and breaches; and possibility of vendor lock-in considering use of open standards, open data formats, existing contracts and proprietary features.",Yes,,,
62,SUPPLY CHAIN SECURITY POLICY,"When establishing their supply chain security policy, relevant entities shall take into account the results of the coordinated security risk assessments of critical supply chains carried out in accordance with Article 22(1) of Directive (EU) 2022/2555, where applicable.",,SUPPLY CHAIN SECURITY,45,5.1.3,"Take into account any recommendations or guidance on supply chain security, published by the NIS Cooperation Group, established by the NIS2 Directive, Article 14 ( 42) and by the national competent authorities. (42) ‘NIS Cooperation Group’, https://digital-strategy.ec.europa.eu/en/policies/nis-cooperation-group. TECHNICAL IMPLEMENTATION GUIDANCE June 2025, version 1.0 68",Yes,,,
63,SUPPLY CHAIN SECURITY POLICY,"Contracts with suppliers and service providers shall specify through service level agreements where appropriate: cybersecurity requirements including those for ICT service and product acquisition; employee awareness, skills, training and certification requirements; employee background verification requirements; obligation to notify without undue delay of incidents presenting security risk; right to audit or receive audit reports; obligation to handle vulnerabilities presenting security risk; requirements for subcontracting with equivalent cybersecurity standards; and obligations upon contract termination including retrieval and disposal of obtained information.",,SUPPLY CHAIN SECURITY,45,5.1.4,"Include all requirements from point 5.1.4 in new and renewed contracts. For large suppliers and service providers, consider collective bargaining, association representation, legal review, negotiation of exit and SLA clauses, suppliers with public security commitments, those with standard certifications like ISO 27001 or SOC 2, trusted vetted platforms, contract templates from business associations, tools allowing easy data export with no lock-in, avoiding long-term commitments without clear exit strategies, and maintaining a list of alternative suppliers. The entity remains fully accountable for service integrity, availability and confidentiality.",Yes,,,
64,SUPPLY CHAIN SECURITY POLICY,The relevant entities shall take into account the elements referred to in point 5.1.2 and,,SUPPLY CHAIN SECURITY,45,5.1.5,,Yes,,,
65,SUPPLY CHAIN SECURITY POLICY,"as part of the selection process of new suppliers and service providers, as well as part of the procurement process referred to in point 6.1.",,SUPPLY CHAIN SECURITY,45,5.1.3,"Perform a risk analysis before entering into any agreement with suppliers and service providers related t. information security, taking into account the elements referred to in point 5.1.2 and 5.1.3, where appropriate (44).",Yes,,,
66,SUPPLY CHAIN SECURITY POLICY,"Comparison between selected contracts and the associated tenders to check whether the secure acquisition of ICT systems, products and service processes and particularly the elements referred to in point 6.1.2 of the Annex to the regulation, are taken into consideration. Risk analysis results from supplier and service provider evaluations.",,SUPPLY CHAIN SECURITY,45,5.1.3,,Yes,,,
67,SUPPLY CHAIN SECURITY POLICY,"The relevant entities shall review the supply chain security policy and monitor, evaluate and, where necessary, act upon changes in the cybersecurity practices of suppliers and service providers, at planned intervals and when significant changes to operations or risks or significant incidents related to the provision of ICT services or having impact on the security of the ICT products from suppliers and service providers occur.",,SUPPLY CHAIN SECURITY,45,5.1.6,Review the supply chain policy at least annually. Create and maintain a process to monitor suppliers and service providers over the life cycle.,Yes,,,
68,SUPPLY CHAIN SECURITY POLICY,"For the purpose of point 5.1.6., the relevant entities shall: (a) regularly monitor reports on the implementation of the service level agreements, where applicable; (b) review incidents related to ICT products and ICT services from suppliers and service providers; (c) assess the need for unscheduled reviews and document the findings in a comprehensible manner; (d) analyse the risks presented by changes related to ICT products and ICT services from suppliers and service providers and, where appropriate, take mitigating measures in a timely manner.",,SUPPLY CHAIN SECURITY,45,5.1.7,"Conduct regular reviews of supplier compliance with agreed SLAs and follow up on deviations; define and assign responsibilities for asset maintenance, operation and ownership; monitor periodic reassessment of compliance and supplier release notes; ensure product configuration aligns with vendor recommendations with increasing frequency as products age; track security incidents related to suppliers as they may trigger unscheduled reviews; conduct unscheduled reviews upon material changes in supplier operations, changes in risk exposure, failure to meet contractual obligations, or emergence of new threats or vulnerabilities. Monitoring frequency shall align with supply chain policy and secure acquisition review processes.",Yes,,,
69,SECURITY IN ACQUISITION OF ICT SERVICES OR ICT PRODUCTS,"For the purpose of Article 21(2), point (e) of Directive (EU) 2022/2555, the relevant entities shall set and implement processes to manage risks stemming from the acquisition of ICT services or ICT products for components that are critical for the relevant entities’ security of network and information systems, based on the risk assessment carried out pursuant to point 2.1, from suppliers or service providers throughout their life cycle.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.1.1,"Integrate cybersecurity as a permanent component of the purchase process by dedicating a specific section to addressing it. This includes any acquisition processes for selecting FOSS (48). Document the process for secure acquisition of ICT services, systems or products and describe relevant procedures that support the process. Take into account industry-recognised standards when developing the process (49).",Yes,,,
70,SECURITY IN ACQUISITION OF ICT SERVICES OR ICT PRODUCTS,"For the purpose of point 6.1.1., the processes referred to in point",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.1.2,,Yes,,,
71,SECURITY IN ACQUISITION OF ICT SERVICES OR ICT PRODUCTS,Acquisition processes shall include: security requirements for ICT services or products; requirements for security updates throughout the entire lifetime or replacement after support ends; information describing hardware and software components; information describing implemented cybersecurity functions and configuration required for secure operation; assurance of compliance with security requirements; and methods for validating delivered ICT services or products against security requirements with documented results.,,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.1.1,"Security requirements must include means to detect, monitor and protect against unauthorized software and information changes. Support contracts must cover the system life cycle and obsolescence management with defined support end dates and continuous alerting. Favour vendors providing clear end-of-life information and separate critical security fixes; request suppliers provide tested security issue solutions free of charge as soon as they become known. Describe implemented cybersecurity functions including potential risks, required security tools such as firewalls or SIEM, specific security mechanisms like encryption or MFA, applicable cybersecurity standards, required assurance levels and relevant European Cybersecurity Scheme certificates. Evaluate ICT service or product security before acquisition.",Yes,,,
72,SECURITY IN ACQUISITION OF ICT SERVICES OR ICT PRODUCTS,"The relevant entities shall review and, where appropriate, update the processes at planned intervals and when significant incidents occur.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.1.3,"Review the processes for secure acquisition of ICT services, systems or products, and the procedures based on them, at least annually. Review logs or records of all changes made to the processes for secure acquisition of ICT services, systems or products, and the procedures based on them, including details of the changes, approvals and implementation dates. Align the tenders and contracts with the entity’s supply chain security policy (Annex to the regulation, point 5.1). For ICT services, systems or products that are not provided by a supplier (e.g. open source projects), entities should share relevant results from internal assessments with them.",Yes,,,
73,SECURE DEVELOPMENT LIFE CYCLE,"Before developing a network and information system, including software, the relevant entities shall lay down rules for the secure development of network and information systems and apply them when developing network and information systems in-house or when outsourcing the development of network and information systems. The rules shall cover all development phases, including specification, design, development, implementation and testing.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.2.1,Take into account the entity’s policies and norms (if available) and industry-recognised standards when developing the rules for the secure development of network and information systems (51).,Yes,,,
74,SECURE DEVELOPMENT LIFE CYCLE,"Relevant entities shall: carry out security requirement analysis at specification and design phases of development or acquisition projects; apply secure systems engineering and secure coding principles promoting cybersecurity-by-design and zero-trust architectures; establish security requirements for development environments; establish and implement security testing processes in the development life cycle; appropriately select, protect and manage security test data; and sanitise and anonymise testing data according to risk assessment.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.2.2,"A secure software development life cycle process should be implemented; smaller entities may use less demanding processes such as secure-by-design practices and security testing. Apply appropriate software testing methods including black-box, static and dynamic application security testing depending on requirement type. Test security at various SSDLC stages prior to go-live using independent tools and self-service platforms. When using production data or variations for testing, ensure proper sanitisation or anonymisation through masking, pseudonymization, deletion or redaction of identifiers, or one-way anonymisation. When using Free and Open Source Software, account for the voluntary nature of projects and assist dependent open source projects in adopting secure systems and coding principles where possible.",Yes,,,
75,CONFIGURATION MANAGEMENT,"The relevant entities shall take the appropriate measures to establish, document, implement and monitor configurations, including security configurations of hardware, software, services and networks.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.3.1,"Establish documented processes based on best practices and information security standards, maintaining detailed configuration settings for information processing, backup, scheduling, error handling, system recovery, cryptographic mechanisms, and audit trails. Document security-related parameters including registry settings, account and file permissions, and settings for functions, ports, protocols, services and remote connections. Employ automated mechanisms to centrally manage, apply and verify configuration settings for software, hardware, mobile devices and connected vehicles, implementing a configuration management database where appropriate to catalogue configuration items and their security attributes. Ensure all network, software and system configurations adhere to established security and operational standards, monitoring and controlling changes per policy. Identify and restrict unauthorized software through a deny-all, permit-by-exception policy for authorized software, managing separate secure baseline configurations for development/test and operational environments. Identify, document and approve deviations from established configuration settings based on defined operational exceptions.",Yes,,,
76,CONFIGURATION MANAGEMENT,"For the purpose of point 6.3.1., the relevant entities shall: (a) lay down and ensure security in configurations for their hardware, software, services and networks; (b) lay down and implement processes and tools to enforce the laid down secure configurations for hardware, software, services and networks, for newly installed systems as well as for systems in operation over their lifetime.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.3.2,"Base defined security configurations on hardening guides, least functionality and least privilege principles, testing before implementation. Establish, document and maintain configuration settings respecting the access control policy, employing security safeguards to detect and respond to unauthorized changes. Establish a configuration management plan containing roles, responsibilities, configuration management processes and procedures, a process for identifying configuration items throughout the system development life cycle, and a process for managing configuration items throughout their life cycle, protecting the plan from unauthorized disclosure and modification. For products lacking official updates after end of supplier support, implement enhanced controls including regular vulnerability scanning, strict configuration hardening, isolation where feasible and continuous monitoring.",Yes,,,
77,CONFIGURATION MANAGEMENT,"The relevant entities shall review and, where appropriate, update configurations at planned intervals or when significant incidents or significant changes to operations or risks occur.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.3.3,"Review and, where appropriate update (53) configurations at least monthly to ensure that patches have been applied, that the backup has been executed according to the plan and that monitoring is in place to identify and alert to fatal server/device/disk errors without delay. Regularly produce, keep and review change logs regarding the security configuration of information systems. Review and update the configurations after major changes (e.g. software updates) and past incidents. Where feasible, obtain baseline configuration files for key systems and devices to compare against current configurations.",Yes,,,
78,"CHANGE MANAGEMENT, REPAIRS AND MAINTENANCE","The relevant entities shall apply change management procedures to control changes of network and information systems. Where applicable, the procedures shall be consistent with the relevant entities’ general policies concerning change management.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.4.1,"Develop change management procedures based on industry-recognized and national standards, including request for change, risk assessment, categorization and prioritization criteria with associated testing and approval requirements, rollback requirements, and documentation and approval of changes. Allow different workflows based on system criticality, change scope and urgency, recording procedure steps followed for each change. Review and approve changes prior to implementation, testing procedures to ensure changes occur in a predefined way, and establishing a change advisory board where appropriate to evaluate requests based on risk, impact, resource requirements and business alignment. Conduct mandatory integrity checks before installing and deploying new software in an authenticated, authorised and non-repudiating manner. Test and validate changes before operational implementation, performing security impact analysis in separate test environments where appropriate, and taking necessary precautions such as backing up system images. Schedule, perform, document and review maintenance and repair records per supplier specifications and entity requirements, restricting maintenance tool use to authorized personnel and ensuring changes use only approved tools with documented execution.",Yes,,,
79,"CHANGE MANAGEMENT, REPAIRS AND MAINTENANCE","shall be applied for releases, modifications and emergency changes of any software and hardware in operation and changes to the configuration. The procedures shall ensure that those changes are documented and, based on the risk assessment carried out pursuant to point 2.1, tested and assessed in view of the potential impact before being implemented.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.4.1,"Consider a mandatory integrity check before installing and deploying new software. Ensure, where appropriate, that changes are done in an authenticated, authorised and non-repudiating manner. Test and validate changes before they are implemented in operational systems, where applicable. Where appropriate, a security impact analysis may be performed in a separate test environment before implementation in an operational environment. Take all necessary precautions before making changes (back up images, for instance). Schedule, perform, document and review records of maintenance and repairs on system components in accordance with the supplier’s specifications and/or the entity’s requirements. Ensure that changes are only allowed with approved tools and that their execution is documented. Restrict the use of maintenance tools to authorised personnel only.",Yes,,,
80,"CHANGE MANAGEMENT, REPAIRS AND MAINTENANCE","In the event that the regular change management procedures could not be followed due to an emergency, the relevant entities shall document the result of the change and the explanation for why the procedures could not be followed.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.4.3,"Where appropriate, integrate the pullback scenario (55) into the change management procedures. Assess the risks from legacy systems and upgrade existing legacy systems to include security mitigating measures in case appropriate security cannot be achieved. Make sure that regular change control procedures that could not be followed due to an emergency change are applied immediately after the emergency change.",Yes,,,
81,"CHANGE MANAGEMENT, REPAIRS AND MAINTENANCE","The relevant entities shall review and, where appropriate, update the procedures at planned intervals and when significant incidents or significant changes to operations or risks.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.4.4,"Review the change management procedures at least once every two years. Make sure that the management procedures cover planned and unplanned changes and the development phase, when applicable. Ensure that the process is not bypassed.",Yes,,,
82,SECURITY TESTING,"The relevant entities shall establish, implement and apply a policy and procedures for security testing.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.5.1,"Take into account industry-recognised standards when developing the testing policy (56). Establish and maintain a testing programme appropriate to the entity’s size, complexity and maturity (57).",Yes,,,
83,SECURITY TESTING,"The relevant entities shall: (a) establish, based on the risk assessment carried out pursuant to point 2.1, the need, scope, frequency and type of security tests; (b) carry out security tests according to a documented test methodology, covering the components identified as relevant for secure operation in a risk analysis; (c) document the type, scope, time and results of the tests, including assessment of criticality and mitigating actions for each finding; (d) apply mitigating actions in case of critical findings.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.5.2,"Conduct continuous testing of network and information systems, particularly in continuous integration/continuous deployment environments, at set-up, after significant upgrades or modifications and following maintenance. Select appropriate security tests including vulnerability assessments, penetration testing, code review, ethical hacking, bug bounty programmes, cyber attack simulations, red teaming or protocol conformance testing, conducting entity-wide scoped tests at planned intervals or when significant incidents or changes occur. Record test evidence and document need, scope, frequency, type and results comprehensibly for expert third parties, using criteria similar to cybersecurity risk assessments. Assess, follow up and remediate high-criticality findings affecting confidentiality, integrity, authenticity or availability, documenting criticality assessment and mitigating actions for each finding and updating risk assessment results and treatment plans accordingly. When testing reveals security issues in free and open source components, share findings with relevant projects and share developed patches suitable for integration; share automated security tests written for open source components with relevant projects where appropriate.",Yes,,,
84,SECURITY TESTING,"The relevant entities shall review and, where appropriate, update their security testing policies at planned intervals.",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.5.3,Review the security testing policy and procedures at least once every two years.,Yes,,,
85,SECURITY PATCH MANAGEMENT,"The relevant entities shall specify and apply procedures, coherent with the change management procedures referred to in point",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.6.1,,Yes,,,
86,"CHANGE MANAGEMENT, REPAIRS AND MAINTENANCE","as well as with vulnerability management, risk management and other relevant management procedures, for ensuring that: (a) security patches are applied within a reasonable time after they become available; (b) security patches are tested before being applied in production systems; (c) security patches come from trusted sources and are checked for integrity; (d) additional measures are implemented and residual risks are accepted in cases where a patch is not available or not applied pursuant to point",,"SECURITY IN NETWORK AND INFORMATION SYSTEMS ACQUISITION, DEVELOPMENT AND MAINTENANCE",45,6.4.1,,Yes,,,
